offsets	literal	sources
0x0026d3a5	group/status	fs/procfs/fs_procfsproc.c
0x0026d3b2	heapcheck	fs/procfs/fs_procfsproc.c
0x0026a496	infinity	libs/libc/stdlib/lib_strtold.c
0x0026c2dc	local:[%s]	net/local/local_sockif.c
0x0027b2db	local_address	net/procfs/net_tcp.c|net/procfs/net_udp.c
0x00292a58	localhost	libs/libc/net/lib_loopback.c
0x00294698	localtime	libs/libc/time/lib_localtime.c
0x0026cf37	nthrottle	fs/procfs/fs_procfsiobinfo.c
0x00292c12	oneshot_initialize	arch/arm/src/armv8-r/arm_arch_timer.c|arch/arm64/src/common/arm64_arch_timer.c
0x0026d46b	prefix1=	fs/unionfs/fs_unionfs.c
0x0026d47d	prefix2=	fs/unionfs/fs_unionfs.c
0x0026e297	preparefail	drivers/power/pm/pm_procfs.c
0x0026eb20	processor	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-a/arm_cpuinfo.c|arch/arm/src/armv7-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c|arch/risc-v/src/common/riscv_cpuinfo.c
0x00276023	pthread_create	boards/arm/lpc17xx_40xx/pnev5180b/src/lpc17_40_symtab.c
0x0026bd3f	recovery	arch/arm/src/lc823450/lc823450_ipl2.c
0x0027b2cc	remote_address	net/procfs/net_tcp.c|net/procfs/net_udp.c
0x0026a24b	rpmsg vq RX:	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026a259	rpmsg vq TX:	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026a2c5	rpmsg-syslog	drivers/syslog/syslog_rpmsg.h
0x0026e2a3	rpmsg-tty	drivers/serial/uart_rpmsg.c
0x0026a30e	rpmsg-usrsock	include/nuttx/usrsock/usrsock_rpmsg.h
0x0026c361	rpmsg:[%s:[%s%s]<->%s]	net/rpmsg/rpmsg_sockif.c
0x0026c378	rpmsg:[%s<->%s:[%s%s]]	net/rpmsg/rpmsg_sockif.c
0x0026d59b	rpmsgfs-	fs/rpmsgfs/rpmsgfs.h
0x0026bbfb	sigaction	boards/arm/lpc17xx_40xx/pnev5180b/src/lpc17_40_symtab.c
0x0026c2e7	socketpair%p	net/local/local_sockif.c
0x0026d592	timeout=	fs/rpmsgfs/rpmsgfs.c
0x0026cf9d	used: dump all allocated node	fs/procfs/fs_procfsmeminfo.c
0x0026eb94	vfpv3d16	arch/arm/src/common/hwcap.h
0x0026e28e	wakelock	drivers/power/pm/pm_procfs.c
